0,"*****JE n'ai aucun intérêt à prévenir le Lecteur sur le récit que je vais faire des principaux événemens de ma vie."
1,"*****On lira cette Histoire, si l'on trouve qu'elle mérite d'être lue."
2,"*****Je n'écris mes malheurs que pour ma propre satisfaction: ainsi je serai content, si je retire, pour fruit de mon ouvrage, un peu de tranquillité dans les momens que j'ai dessein d'y employer."
3,"Carminibus quœro miserarum oblivia rerum : Prœmia si studio consequar ista, sat est*."
4,"* Ovide."
5,"La naissance et les grands biens ne sont pas toujours des moyens d'être heureux."
6,"Ou peut mener avec l'un et l'autre une vie très-malheureuse, quand on a le cœur formé d'une certaine façon."
7,"Je n'expliquerai point aisément ce que j'entends par cette certaine façon, dont on peut avoir le cœur formé; mais on le comprendra sans peine, en lisant les tristes accidens de ma vie."
8,"Je sors d'une maison illustre, et qui a produit de grande hommes."
9,"Mes ancêtres étaient établis, depuis plusieurs siècles, dans une province voisine de la France, et qui a passé enfin sous sa domination, après avoir été longtemps sous celle d'Espagne."
10,"Ce changement de maître fut embarrassant pour eux."
11,"Comme ils avaient des établissemens considérables au service du roi d'Espagne, ils se trouvèrent dans la nécessité, ou d'y renoncer, ou de perdre leurs biens, qu'ils ne pouvaient conserver en portant les armes contre la France."
12,"Mais enfin la fidélité qu'ils crurent devoir à leurs premiers engagemens, les détermina à devenir tout-à-fait Espagnols."
13,"De quatre frères qu’ils étaient, il n'y eut que le second qui se sentit le cœur Français, et qui vint offrir ses services au roi Louis XIV."
14,"Il en fut reçu comme il l'espérait."
15,"Dès la première campagne, il eut une compagnie de cavalerie."
16,"Sa bonne fortune lui procura plusieurs occasions de se distinguer, dont il sut toujours profiter avec honneur ; de sorte qu'il se vit bientôt à la tête d'un régiment, avec l'estime de la Cour et de toute l'armée."
17,"Il continua à servir pendant plusieurs années, jusqu'à ce qu'il vint à songer qu'étant le seul héritier de sa maison dans le royaume, l'amour qu'il devait à son nom, l'obligeait de ne pas le laisser éteindre dans sa personne."
18,"Cette réflexion le fit résoudre à quitter entièrement le service; et à se retirer dans sa province, pour y faire choix d'une épouse."
19,"Il alla trouver le Roi, et lui apprit, en lui remettant son emploi, par quels motifs il se déterminait à la retraite."
20,"Louis XIV, plein de cette bonté généreuse qu'il a toujours fait paraître pour les officiers qui l'ont bien servi, lui permit de vendre son régiment, et d'en tirer tout l'argent qu'il pourrait."
21,"De sorte qu'il partit fort satisfait de la Cour, et se rendit dans sa province, où il épousa bientôt une personne de qualité et de mérite, qui lui apporta un bien considérable : le sien l'était aussi depuis la renonciation volontaire de ses frères."
22,"Ainsi il se vit en état de soutenir son nom, et de lui donner un nouveau lustre, si le Ciel bénissait son mariage."
23,"Il se fit appeler le comte de. C'est le nom que les aînés de notre maison ont toujours porté; et ayant eu un fils dès la première année, il lui donna celui de marquis de., qu'il avait porté lui-même jusqu'alors."
24,"Son épouse eut le malheur de perdre la vie en le mettant au monde."
25,"Comme ce fils est mon père, il est nécessaire de m'étendre un peu plus sur ce qui le regarde, parce que les aventures de sa vie ont été la source de toutes les miennes."
26,"Mon grand-père ne négligea rien pour l'éducation d'un fils si cher, et il eut la satisfaction de le voir répondre à ses espérances."
27,"Il l'envoya de bonne heure à Paris."
28,"Ses progrès furent prompts dans toutes les sciences, et particulièrement dans les exercices qui conviennent aux personnes de condition."
29,"Il s'y distingua de telle sorte, que le souvenir s'en conservait encore à l'académie, lorsque j'y fus envoyé au bout de vingt ans."
30,"Après s'être formé heureusement pour tout ce qui regarde l'esprit et le corps, il acheva de se polir dans le commerce des plus honnêtes gens de Paris et de la Cour."
31,"Il passa ainsi quelques années sans autre occupation que celle de s'instruire et de se donner du plaisir."
32,"Heureux s'il eût su profiter de l'estime où il était déjà dans le monde! Mais la fortune lui préparait des obstacles que tout son mérite ne lui put faire surmonter."
33,"Le comte, charmé d'apprendre par les lettres de ses amis les belles qualités d'un fils qui lui tenait lieu de tout, ne put résister à l'envie de le revoir."
34,"Il lui écrivit de se rendre promptement auprès de lui."
35,"Le marquis revint, et trouva en arrivant au château toute la noblesse voisine, que la nouvelle de son retour y avait assemblée."
36,"Il fut reçu comme on peut se l'imaginer."
37,"Son mérite lui gagna d'abord l'estime et l'amitié de tout le monde."
38,"Il y avait, parmi cette noblesse; un gentilhomme attaché particulièrement à mon grand-père."
39,"C'était un cadet d'une fort bonne maison de Normandie, qui avait été son lieutenant lorsqu'il n'était encore que capitaine de cavalerie."
40,"Un service important qu'il en avait reçu dans une bataille, le lui avait rendu si cher, qu'il prit soin de sa fortune lorsqu'il fut dans un poste plus élevé."
41,"Mais comme il ne put alors satisfaire entièrement l'envie qu'il avait de lui faire du bien, il lui proposa un autre parti; ce fut de le suivre lorsqu'il quitta le métier de la guerre; il lui promit de lui faire passer dans quelqu'une de ses terres une vie douce et honorable."
42,"Le chevalier, qui se trouvait sans biens, accepta volontiers cette offre, et mon grand-père lui tint parole d'une manière bien généreuse."
43,"Il lui abandonna pour toute sa vie le revenu d'une terre qui était voisine de celle où il faisait lui même sa demeure."
44,"Il fit meubler pour lui la maison seigneuriale, qui était d'ailleurs en fort bon état."
45,"Il ne se borna point là; il l'engagea à prendre une épouse, et fut lui-même l'entremetteur du mariage, après lui avoir promis que s'il lui venait des enfans, il en aurait soin comme des siens."
46,"Le chevalier en eut deux ; mais l'aîné, qui était un garçon, mourut dans le premier âge."
47,"Il ne lui resta qu'une fille fort aimable, qui avait seize ou dix-sept ans lorsque mon père revint de Paris."
48,"On s'imagine bien que parmi ceux qui s'empressèrent de lui faire honneur, le chevalier ne fut pas des plus lents."
49,"A peine les premiers jours furent passés, qu'il lui proposa une partie de chasse dans les grandes forêts, qui sont le principal bien de notre maison."
50,"Son dessein était de le ramener par la sienne, où il faisait préparer un magnifique souper."
51,"Sa fille, qui n'avait pas encore vu mon père, et qui brûlait d'envie de le voir, sur ce qu'elle avait appris de son mérite, ne négligea rien de tout ce qui pouvait servir à la faire paraître avec avantage."
52,"Elle fit plus, elle se mit dans un carrosse avec quelques-unes de ses amies, et se fit mener vers le lieu de la chasse, sous prétexte qu'elle voulait prendre sa part du plaisir."
53,"Je ne sais s'il n'entrait pas déjà dans cet empressement quelque inclination pour mon père et quelque désir de lui en inspirer pour elle; mais si ce fut là son dessein, elle y réussit plus promptement qu'elle ne pouvait l'espérer."
54,"Les chasseurs s'étaient dispersés dans la forêt."
55,"Le marquis fut un des premiers que le hasard conduisit vers le carrosse."
56,"Il l'aborda; et si ses premiers regards lui firent une conquête de la fille du chevalier, il devint lui-même la sienne en un instant."
57,"Jamais passion ne fit de plus prompts progrès dans une ame."
58,"Je lui ai entendu dire bien des fois qu'il n'avait rien aimé sérieusement jusqu'alors, et que se sentant tout d'un coup si excessivement touché, il en avait frémi, comme par un pressentiment secret des peines que l'amour lui allait causer."
59,"Mais toutes ses réflexions furent trop faibles contre le penchant de son cœur."
60,"Il ne trouva, dans toute la soirée, que de nouvelles raisons de s'enflammer davantage, et il sortit de cette maison le plus passionné de tous les hommes."
61,"*****Qu'il me soit permis de faire quelques réflexions sur cette première époque de nos infortunes domestiques."
62,"C'est un soulagement que je ne puis refuser à ma douleur, et que je prie le lecteur de m'accorder quelquefois dans cet Ouvrage."
63,"Personne n'est plus persuadé que moi de la réalité d'un premier crime qui a rendu tous les hommes coupables, faibles et malheureux."
64,"C'est le fondement du christianisme, et je ne vois rien de mieux établi."
65,"Mais si, par un effet de ce premier crime, toutes nos passions sont de nous, et ont leur source dans notre propre cœur, pourquoi ne sommes-nous pas portés également vers tout ce qui en peut être l'objet? J'explique ma pensée."
